Date,INFY-EQ O,INFY-EQ H,INFY-EQ L,INFY-EQ C,INFY-EQ V
28-02-2020 15:29,731.65,732,730.35,732,21574
28-02-2020 15:28,733.7,733.9,730.6,731.6,98668
28-02-2020 15:27,733.7,736.05,733,733,111359
28-02-2020 15:26,733.6,733.9,733.6,733.7,87679
28-02-2020 15:25,732.65,733.6,732.55,733.6,110117
28-02-2020 15:24,732.75,734,732.6,732.65,114341
28-02-2020 15:23,732.9,733.3,731.6,732.75,191736
28-02-2020 15:22,733.85,733.85,732.9,732.95,107063
28-02-2020 15:21,735.75,735.75,733.65,733.8,104630
28-02-2020 15:20,736.65,738.9,735.75,735.75,153578
28-02-2020 15:19,737.65,737.65,736.3,736.4,166197
28-02-2020 15:18,734.4,737.8,734.35,737.8,139470
28-02-2020 15:17,735.2,735.65,734.05,734.35,179683
28-02-2020 15:16,733.05,735,732.5,735,153681
28-02-2020 15:15,729.15,733.9,729.05,733.2,229941
28-02-2020 15:14,729.95,730,729.1,729.2,125111
28-02-2020 15:13,729.35,730.15,729.2,729.95,118336
28-02-2020 15:12,728.45,729.5,728.05,729.4,149124
28-02-2020 15:11,729.25,729.55,728.45,728.45,99552
28-02-2020 15:10,729.2,729.25,728,728.5,148493
28-02-2020 15:09,729.65,729.8,728.3,729.25,130403
28-02-2020 15:08,730.15,731.4,728.95,729.85,137210
28-02-2020 15:07,727.85,730.4,727.25,730.1,175387
28-02-2020 15:06,729.35,729.4,727.7,727.9,142703
28-02-2020 15:05,731.05,731.05,729.35,729.4,122540
28-02-2020 15:04,728.3,731.55,727.45,731.1,184212
28-02-2020 15:03,730.7,730.75,728.3,728.35,189809
28-02-2020 15:02,730.85,730.85,730.7,730.75,96148
28-02-2020 15:01,731.2,731.4,730.25,730.8,151006
28-02-2020 15:00,732.5,732.5,731.15,731.15,155229
28-02-2020 14:59,732.85,733.65,731.85,732.45,48240
28-02-2020 14:58,733.5,733.7,731.65,732.75,41770
28-02-2020 14:57,733,733.95,732,733.55,29299
28-02-2020 14:56,732.2,733.05,732.15,732.7,28641
28-02-2020 14:55,733.15,734,731.95,733.75,49330
28-02-2020 14:54,734.5,734.55,733,733,21121
28-02-2020 14:53,735,735.95,733.65,734.45,29013
28-02-2020 14:52,734.9,734.9,734,734.9,49405
28-02-2020 14:51,735.85,736.6,735,735,23224
28-02-2020 14:50,737,737.65,735.1,736.25,43723
28-02-2020 14:49,738,738.35,736.25,737,42553
28-02-2020 14:48,739.5,740.5,738,738,28282
28-02-2020 14:47,738.25,739.75,738.2,739.3,25481
28-02-2020 14:46,739.95,740,738.1,738.25,29327
28-02-2020 14:45,740.35,740.35,739.8,739.8,19969
28-02-2020 14:44,740.5,740.6,740,740.4,28042
28-02-2020 14:43,740.5,740.65,740,740.5,28907
28-02-2020 14:42,740.9,741,740,740.45,28514
28-02-2020 14:41,740.35,741,740.05,741,29960
28-02-2020 14:40,740.6,741,740,740.35,28989
28-02-2020 14:39,740.4,740.6,740,740.55,37913
28-02-2020 14:38,740.75,740.75,740.05,740.35,28300
28-02-2020 14:37,740.2,741.1,739.95,740.65,17829
28-02-2020 14:36,740.65,741,739.5,740.15,24582
28-02-2020 14:35,741.05,741.1,740.25,740.35,21143
28-02-2020 14:34,740.9,741.25,740.5,741,14607
28-02-2020 14:33,741.6,741.9,740.8,740.85,14550
28-02-2020 14:32,741,742,741,741.2,31293
28-02-2020 14:31,741,741.25,740.7,741.2,20436
28-02-2020 14:30,741,741.35,740.2,741,20179
28-02-2020 14:29,739.9,741,739.4,740.9,35458
28-02-2020 14:28,740.3,740.45,739.6,739.95,12012
28-02-2020 14:27,740.25,740.7,739.7,740.25,16940
28-02-2020 14:26,739,740.9,739,740.2,31632
28-02-2020 14:25,739.35,739.5,738.55,738.95,31118
28-02-2020 14:24,737.45,739.7,737.4,739.4,36488
28-02-2020 14:23,738.1,738.4,736.85,737.5,52174
28-02-2020 14:22,739.3,739.4,738,738.05,22449
28-02-2020 14:21,739,739.75,738.8,739.3,23844
28-02-2020 14:20,739.4,739.6,738.5,738.75,21836
28-02-2020 14:19,738.45,739.35,738.45,739.35,15672
28-02-2020 14:18,739.1,739.15,738.3,738.9,23584
28-02-2020 14:17,740.55,740.55,739,739.1,25991
28-02-2020 14:16,740.1,740.9,740.05,740.55,19095
28-02-2020 14:15,740.55,740.55,739.9,740.05,17656
28-02-2020 14:14,739.6,741.3,739.25,740.7,22830
28-02-2020 14:13,739.05,739.65,739,739.65,18248
28-02-2020 14:12,739.35,739.55,738.8,739.15,15744
28-02-2020 14:11,739.25,739.55,738.55,739.3,19298
28-02-2020 14:10,738.6,739.45,738,739.2,19721
28-02-2020 14:09,739.05,739.85,738.4,738.65,38061
28-02-2020 14:08,739.05,739.25,738.65,738.85,20482
28-02-2020 14:07,739.05,739.3,738.1,739,18783
28-02-2020 14:06,738.95,739.65,738.55,738.85,19600
28-02-2020 14:05,740.6,740.75,738.9,738.9,23232
28-02-2020 14:04,740.4,740.95,740.25,740.7,15071
28-02-2020 14:03,740.75,740.75,738.7,740.2,40301
28-02-2020 14:02,740.85,741,740.05,740.7,18346
28-02-2020 14:01,740,741.25,740,740.8,31439
28-02-2020 14:00,741.4,741.4,739.6,739.7,23544
28-02-2020 13:59,741,741.5,740.75,741.35,8762
28-02-2020 13:58,741,741.2,740.7,741,11328
28-02-2020 13:57,741.35,741.6,740.7,741,9868
28-02-2020 13:56,740.8,741.5,740.6,741.35,12180
28-02-2020 13:55,741.55,741.6,740.65,740.65,13190
28-02-2020 13:54,741.1,741.75,740.85,741.5,12470
28-02-2020 13:53,740.6,741.2,740.5,741,11602
28-02-2020 13:52,740.7,741.5,740.05,740.8,25894
28-02-2020 13:51,741.1,741.5,740.55,740.55,14354
28-02-2020 13:50,742.35,742.55,741,741,13884
28-02-2020 13:49,742.25,742.7,742.1,742.3,10801
28-02-2020 13:48,742.8,743.05,742.15,742.25,10270
28-02-2020 13:47,742.4,743.7,742.2,742.85,45036
28-02-2020 13:46,741.7,742.85,741.2,742.15,43802
28-02-2020 13:45,741.8,742.45,741.05,741.7,31685
28-02-2020 13:44,742.1,742.35,741.05,741.75,22904
28-02-2020 13:43,741.9,742.9,741.5,742.1,41390
28-02-2020 13:42,741.5,741.95,741.05,741.85,20203
28-02-2020 13:41,741.1,741.95,741,741.5,16540
28-02-2020 13:40,741,742,740.55,741.1,53675
28-02-2020 13:39,739.75,741.2,739.5,741,42601
28-02-2020 13:38,741.25,741.25,739.3,739.75,65738
28-02-2020 13:37,741.25,741.85,740.5,741.25,57477
28-02-2020 13:36,740,740.5,739.3,740.5,59061
28-02-2020 13:35,738.5,740,738.4,740,61495
28-02-2020 13:34,739,739.4,738,738.2,19865
28-02-2020 13:33,738,739,737.95,739,37496
28-02-2020 13:32,736.7,738,736.6,738,19515
28-02-2020 13:31,736.55,736.85,735.15,736.6,20572
28-02-2020 13:30,736.35,736.7,735.4,736.15,16282
28-02-2020 13:29,735,736.95,735,736.35,31649
28-02-2020 13:28,735.35,735.5,734.1,735,17982
28-02-2020 13:27,735.4,735.7,735.05,735.3,13548
28-02-2020 13:26,735,735.9,734.65,735.3,13149
28-02-2020 13:25,734.8,735.3,733.8,735,21844
28-02-2020 13:24,735.25,735.8,734.75,735,25895
