Date,LT-EQ O,LT-EQ H,LT-EQ L,LT-EQ C,LT-EQ V
28-02-2020 15:29,1189.1,1191.5,1189,1191.05,26684
28-02-2020 15:28,1189.4,1190.6,1188.8,1189.2,29625
28-02-2020 15:27,1189.55,1191.85,1188.4,1189.75,54264
28-02-2020 15:26,1189.55,1190.6,1188.75,1188.75,45726
28-02-2020 15:25,1187.35,1189.95,1187.15,1189.4,65239
28-02-2020 15:24,1188.5,1189.35,1187,1187.3,31611
28-02-2020 15:23,1187.65,1188.65,1186.8,1188.65,29391
28-02-2020 15:22,1187.65,1187.9,1186.1,1187.6,27275
28-02-2020 15:21,1188,1188.3,1186.2,1187.7,20993
28-02-2020 15:20,1189.05,1189.55,1187.25,1187.5,25163
28-02-2020 15:19,1193.75,1194.1,1188.7,1188.9,31637
28-02-2020 15:18,1194.1,1195.4,1193.1,1194.35,66397
28-02-2020 15:17,1196.45,1196.45,1193.3,1194.75,52429
28-02-2020 15:16,1195,1196,1193.65,1195.65,68743
28-02-2020 15:15,1194,1195.75,1193.55,1194.95,74541
28-02-2020 15:14,1193.85,1195.55,1193.45,1195,73864
28-02-2020 15:13,1190.5,1193.9,1190.2,1193.9,54971
28-02-2020 15:12,1187,1190.85,1187,1190.05,52795
28-02-2020 15:11,1185.4,1187.9,1185.4,1187,44702
28-02-2020 15:10,1183.85,1185.8,1183.3,1185.8,62981
28-02-2020 15:09,1182.05,1184,1182,1184,51510
28-02-2020 15:08,1181.2,1183.6,1181.1,1182.05,43603
28-02-2020 15:07,1179.6,1182,1179.35,1181.2,42831
28-02-2020 15:06,1180,1180.3,1179.25,1179.7,36671
28-02-2020 15:05,1180.3,1180.65,1179,1180.1,32368
28-02-2020 15:04,1179.6,1181,1179,1180.25,32774
28-02-2020 15:03,1175.95,1180,1175.35,1179.6,37170
28-02-2020 15:02,1178.55,1178.55,1175.85,1175.95,28679
28-02-2020 15:01,1176.4,1178.7,1176.4,1178.55,24291
28-02-2020 15:00,1178.5,1178.55,1175.1,1176.85,49376
28-02-2020 14:59,1179.75,1180.5,1178.25,1178.55,12546
28-02-2020 14:58,1180.6,1180.6,1179.3,1179.75,27490
28-02-2020 14:57,1179,1180.5,1178.95,1180.5,27849
28-02-2020 14:56,1180.55,1180.95,1178.95,1178.95,14772
28-02-2020 14:55,1180.35,1181.25,1178.65,1180.55,29729
28-02-2020 14:54,1181.6,1182,1180.5,1180.65,11470
28-02-2020 14:53,1182.25,1182.65,1180.2,1181.4,21262
28-02-2020 14:52,1183,1183.05,1182.1,1182.25,29389
28-02-2020 14:51,1184.1,1184.5,1183,1183,16656
28-02-2020 14:50,1185.05,1185.4,1184.1,1184.1,49025
28-02-2020 14:49,1185,1186.2,1184.55,1184.9,28597
28-02-2020 14:48,1185.75,1186,1184.25,1185.05,17107
28-02-2020 14:47,1184.95,1186,1184.15,1185.6,12760
28-02-2020 14:46,1184.6,1185.3,1184.3,1184.45,17578
28-02-2020 14:45,1184.75,1185,1184.25,1184.25,16098
28-02-2020 14:44,1184.7,1184.95,1184.1,1184.7,17216
28-02-2020 14:43,1184.45,1184.7,1183.55,1184.7,21450
28-02-2020 14:42,1184.9,1186,1184.5,1184.6,17075
28-02-2020 14:41,1184.5,1185,1184.3,1184.9,10490
28-02-2020 14:40,1185.05,1185.6,1183.8,1184.65,18882
28-02-2020 14:39,1185.8,1185.8,1184.05,1185,26360
28-02-2020 14:38,1186.2,1186.3,1185.1,1185.8,12008
28-02-2020 14:37,1187.05,1187.2,1186.05,1186.25,7829
28-02-2020 14:36,1187.9,1188.2,1187,1187,9560
28-02-2020 14:35,1187.45,1188.35,1187.4,1187.95,9550
28-02-2020 14:34,1187.1,1187.5,1186.95,1187.5,12832
28-02-2020 14:33,1187.85,1188.25,1187,1187,7108
28-02-2020 14:32,1187.85,1189.2,1187.05,1188,21942
28-02-2020 14:31,1187,1188,1186.3,1187.9,16077
28-02-2020 14:30,1186.05,1187.2,1185.85,1187.05,7432
28-02-2020 14:29,1186.6,1187,1185,1186.05,11882
28-02-2020 14:28,1187,1187.7,1185.5,1186.6,30277
28-02-2020 14:27,1186.75,1187,1185.8,1186.95,11271
28-02-2020 14:26,1185.55,1187,1185.15,1186.85,15809
28-02-2020 14:25,1184.9,1185.7,1184.05,1185.5,9771
28-02-2020 14:24,1183.9,1184.9,1183.8,1184.85,10814
28-02-2020 14:23,1184.75,1184.75,1183.15,1183.8,14006
28-02-2020 14:22,1184.7,1184.9,1183.85,1184.7,13031
28-02-2020 14:21,1184.8,1185.15,1184.2,1184.5,8590
28-02-2020 14:20,1184,1185.4,1184,1184.8,21978
28-02-2020 14:19,1182.8,1183.9,1182.6,1183.9,16630
28-02-2020 14:18,1182.9,1182.9,1182.2,1182.75,13780
28-02-2020 14:17,1183.2,1183.25,1181.35,1182.85,24278
28-02-2020 14:16,1183.05,1183.7,1182.85,1183.25,11516
28-02-2020 14:15,1181.55,1183.45,1181.1,1183.1,20064
28-02-2020 14:14,1182.1,1182.2,1181,1181.5,11320
28-02-2020 14:13,1182.45,1183.65,1182,1182.15,10320
28-02-2020 14:12,1182,1182.7,1181.9,1182.6,9738
28-02-2020 14:11,1182.3,1182.35,1180.9,1182,13057
28-02-2020 14:10,1183.2,1183.25,1181.65,1182.05,9214
28-02-2020 14:09,1183.95,1183.95,1183,1183.25,19076
28-02-2020 14:08,1183.6,1184.25,1183.4,1183.6,6033
28-02-2020 14:07,1184,1184,1183,1183.55,8998
28-02-2020 14:06,1183.35,1184,1183,1184,14830
28-02-2020 14:05,1183.65,1183.7,1183,1183.35,6799
28-02-2020 14:04,1183.9,1184.5,1183.5,1183.7,7647
28-02-2020 14:03,1185.5,1185.5,1183.1,1183.8,17620
