Date,VEDL-EQ O,VEDL-EQ H,VEDL-EQ L,VEDL-EQ C,VEDL-EQ V
28-02-2020 15:29,112.55,112.85,112.1,112.85,237166
28-02-2020 15:28,112.7,112.8,112.55,112.75,322789
28-02-2020 15:27,113.05,113.05,112.6,112.7,245263
28-02-2020 15:26,112.55,113.1,112.55,113,320475
28-02-2020 15:25,112.75,112.75,112.5,112.55,210219
28-02-2020 15:24,112.65,112.9,112.55,112.75,209642
28-02-2020 15:23,113.55,113.55,112.55,112.65,713920
28-02-2020 15:22,113.55,113.55,113.4,113.55,164658
28-02-2020 15:21,113.55,113.6,113.1,113.55,345955
28-02-2020 15:20,114,114,113.5,113.6,310398
28-02-2020 15:19,113.9,114.15,113.8,114,365214
28-02-2020 15:18,113.55,114,113.35,113.85,330104
28-02-2020 15:17,114.35,114.4,113.4,113.4,449002
28-02-2020 15:16,114.15,114.55,114.1,114.4,560268
28-02-2020 15:15,114,114.15,113.85,114.15,362615
28-02-2020 15:14,113.85,114.1,113.65,114,276332
28-02-2020 15:13,114.1,114.2,113.8,113.9,261617
28-02-2020 15:12,113.95,114.1,113.65,114.1,409171
28-02-2020 15:11,113.75,114.15,113.65,113.95,635181
28-02-2020 15:10,113.65,113.8,113.4,113.8,651344
28-02-2020 15:09,114.35,114.35,113.55,113.7,1080096
28-02-2020 15:08,114.5,114.55,114.2,114.35,338908
28-02-2020 15:07,114.55,114.7,114.45,114.55,444987
28-02-2020 15:06,115,115.05,114.5,114.5,438455
28-02-2020 15:05,115.35,115.35,115.05,115.05,252729
28-02-2020 15:04,115.25,115.5,115.25,115.35,423480
28-02-2020 15:03,115.15,115.45,115.05,115.3,276538
28-02-2020 15:02,115.55,115.6,115.1,115.15,215961
28-02-2020 15:01,115.4,115.6,114.75,115.5,656751
28-02-2020 15:00,115.75,115.75,115.15,115.4,585239
28-02-2020 14:59,116.3,116.35,115.75,115.8,550851
28-02-2020 14:58,116.4,116.4,116.2,116.3,200465
28-02-2020 14:57,116.4,116.5,116.2,116.4,247896
28-02-2020 14:56,116.6,116.65,116.35,116.5,304654
28-02-2020 14:55,116.85,116.85,116.5,116.5,210719
28-02-2020 14:54,117.1,117.15,116.75,116.8,124070
28-02-2020 14:53,117,117.1,116.75,117.1,186747
